번호,제목,내용,작성자,작성일
23,멀티캠퍼스 인공지능 자연어처리(NLP) 기반 기업 데이터 분석...,"단순히 '인공지능 자연어처리'라는 키워드만 보고 바로 지원했고, NLP가 무엇인지도 모르는 상태였다. 개념적인 내용은 블로그, 유튜브를 통해 공부하고 있었지만...",파플의 코딩공부,2일 전
24,"(211109) 셀바스AI - 우리가 모르는 메타버스 수혜주, 절대적...","(TTS), 자연어처리, 필기인식 등 AI솔루션 제공 └ 국내 최고 음성인식률 보유, 음성합성 기술 M/S 60%로 국내 1위 └ 쌍방향커뮤니케이션 핵심기술인 음성기술을...",자동차 연구원의 주식공부,2일 전
25,"셀바스AI 주가 전망 : 인공지능, 메타버스, 음성인식 관련주","영상지능, 자연어처리 등 HCI 기술 경쟁력을 가오하하고 있음 - 음성합성... 마우스, 키보드 등 전통적인 컴퓨터 입력장치가 음성인식, 음성합성, 자여어처리...",Collect moments not things,2일 전
26,2021/11/09,흘러흘러 자연어처리 딥러닝을 하는중이다. 문제는 단기간에 계속 효율이 안나와서 열심히 자신과의 싸움중 나무만보고 숲은 못본다는게 이런 경우인거같다 내년쯤 이...,정신나간 랩터,2일 전
27,마이크로소프트(MSFT)도 메타버스에 합류! 그에 대한 완벽 분석!,"☆ Azure Open AI Service 현존 최대 자연어 처리 프로그램인 GPT-3 API를 클라우드 기반으로 제공합니다. 즉, 애저를 사용하면 고객 서비스 로그 상의 공통된 불만사항을...",무한한능력&미국주식으로 경제적자유 이루는 은하수,2일 전
28,셀바스AI 주가 숨겨진 메타버스 수혜주 기대감에 상한가,"음성합성, 자연어처리, 필기인식 등의 AI 솔루션을 제공중인데 특히 음성기술을 주목해야 한다고 합니다 각 도메인별 데이터 학습을 통해 98% 이상의 국내 최고 음성...",멋찐여우,2일 전
29,AI 최강의 수업,"전처리 방법이라고 볼 수 있다. 차원 감소를 위 해서는 주성분 분석... - 자연어는 애매하다. 상황에 따라 단어의 역할, 의미가 달라진다. 의미만 전달하는 것이 아니라...",책정리,2일 전
30,[경북대학교 데이터융합연구원] 2021년 고용노동부 K...,데이터 처리 라이브러리 Pandas ▶ 데이터 크롤링정제 등 총 256시간 진행된다. 심화과정은 47일 동안 ▶ 빅데이터 통계기본 ▶ 자연어 처리 ▶ 데이터 분석...,비즈오픈의 공식블로그,2일 전
31,21년 11월 9일 화 주식시황,#코스피#코스닥#상한가 21년 11월 9일 화요일 주식시황입니다. 양대 지수 모두 소폭 상승하면서 강보합입니다. 코스피는 여전히 하락하는 중이고 코스닥은 옆으로...,......,2일 전
32,"아진산업,하이트론,제일테크노스,셀바스AI","표면처리(Shot Blast) 및 절단가공(Steel Cutting)하는 조선부문으로 사업을 영위하고... (TTS), 자연어처리, 필기인식 등의 AI 솔루션을 제공중인데 특히 음성기술을...",만들고 싶다 이런 노래,2일 전
33,프로그래밍 언어의 간추린 역사,"상당부분 자연어에 의존하며, 포트란에 비해 많은 양의 데이터를 처리하도록 설계됐다. 코볼은 처음 등장한 후 가장 널리 사용되는 프로그램 언어 중 하나로...",물병자리 시대의 여명,2일 전
34,[Kore.ai XO Platform Release v9.1] 100개 이상 언어로...,컨택센터 #자연어처리 #챗봇솔루션 #자동응답서비스 #AI비서 #KOREAI #코어AI... 인지검색 #자연언어처리 #챗봇고도화 #챗봇플랫폼 #가상직원 #디지털직원 #AI직원...,코어에이아이,2일 전
35,"상한가(11월9일),갤럭시아에스이엠/하이트론...","셀바스AI는 음성인식(STT), 음성합성(TTS), 자연어처리, 필기인식 등의 AI 솔루션을... 표면처리·절단가공하는 조선부문 등을 영위하고 있습니다. 이 회사의 박정식...",라온제나 주식독법,2일 전
36,[2021 금융산업 전문인력 AI 역량강화] #온라인으로_배우는...,"OCR, 자연어 처리 등 딥러닝을 통해 해결한 문제 소개 코스 2 소개 페이지 ♂? 수강하러 가기 ♀? 코스 3. 간편결제 및 자산관리 사례 ? 디지털 전환을 통한...",한국핀테크지원센터,2일 전
37,셀바스AI 메타버스 가상 캐릭터와 소통하는 AI음성인식기술로...,"셀바스AI는 AI 기술을 활용해 음성인식과 음성합성, 자연어 처리 등의 기술을 제공하는 업체다. 최근 증권가에서 셀바스AI가 주목받는 건 메타버스 내에서 셀바스AI...",mytaeeun님의블로그,2일 전
38,"[가까운 책] 트렌드코리아 2022 - 김난도, 전미영, 최지혜 외",빅데이터 자연어 처리NLP 등 데이터를 다양한 관점에서 분석하고 있다. 코오롱-카이스트 라이프스타일 이노베이션 최우수상을 수상했다. 저자 : 권정윤...,그런 의미에서 책방,2일 전
39,셀바스AI 주가 상한가 메타버스 음성인식,"영상지능, 자연어처리 등 HCI(Human-Computer Interaction) 기술 경쟁력을 강화하고 있음.... 셀바스AI는 음성인식(STT), 음성합성(TTS), 자연어처리, 필기인식 등의 AI 솔루션을...",경제 감각,2일 전
40,[재벌투자연구소 투자정보]-장중에 78%로 수익매도#셀바스AI,"동사는 22년간의 지속적인 연구개발 투자를 통해 음성지능, 필기지능, 영상지능, 자연어처리 등 HCI(Human-Computer Interaction) 기술 경쟁력을 강화하고 있음....","확실한 증권투자회사, (주)제이비소프트 공식블로그",2일 전
41,가을의 기록,"회사에서 자연어처리 특강을 하는데 나는 1도 모르겠다.. 꼭 배워야할 것 같은데 과외를 해야나아 ㅋㅋㅋㅋ.. 유투브 열심히보면 알 수 있지않나여? 하핳,, 어렵네여 진짜...","always, YOIL",2일 전
42,"기술평가 A, AA 등급을 받고 기술특례상장 초읽기에 들어간...","음성인식과 자연어처리(NLP) 등의 기술을 이전 받아 다양한 분야의 첨단 AI 서비스 플랫폼을 개발하며 대표적인 AI 기업으로 성장중인 비상장회사 ""마인즈랩""를...",비상장 장외주식 투자 정석,2일 전
43,"품절주 관련주, 하이트론 주가,이재명 후보 수술실 관련 발언...","오늘의급등주 하이트론 셀바스AI 갤럭시아에스엠 일정실업 갤럭시아머니트리 셀바스AI AI 기술을 활용해 음성인식과 음성합성, 자연어 처리 등의 기술을...",타임경제연구소 공식블로그,2일 전
44,"경북대학교, K-Digital Training 빅데이터 분석가 양성과정",한국어 처리 패키지 8 자연어 처리 미니프로젝트 16 데이터 분석 데이터 기초통계분석 8 데이터 심화 분석 8 데이터 분석 미니프로젝트 16 데이터 시각화와...,"캠핑, 커피 한 잔의 여유",2일 전
45,<그냥 하지 말라> | 빅데이터 전문가 송길영 부사장이 말하는...,"바이브컴퍼니는 텍스트 마이닝, 대규모 정보탐색과 자연어 처리 등 수십억 개의 소셜미디어 글들이 담고 있는 소비자의 의견을 인공지능 기술을 이용하여 자동으로...",세상 모든 책의 리뷰,2일 전
46,"콘텐츠 홍수 속, 플랫폼이 필요해","구글 번역 아닌가 했는데, 헤이버니를 만든 트위그팜 은 딥러닝 기반의 자연어처리 전문기업으로 번역쪽에 특화되어 있었다. 오, 멋진데. 헤이버니 웹사이트 캡쳐...",뽈뽈래빗,2일 전
47,기 들릴(Guy Delisle) - 평양(Pyongyang) (2003),"만화영화 제작이나 해킹 같은 거야 나랑 관련이 별로 없는 분야라지만, 자연어처리에서마저... 나는 대체 뭐란 말인가. 사실 직원들은 별도로 봉급을 받긴 하지만, 쌀...",HOMO SCRIBENS,2일 전
48,엔비디아 GTC 컨퍼런스 개최 (feat. 무료 등록방법),"<메타버스에서의 연결 : 엔비디아 GTC 키노트 제작 과정> 젠슨 황 CEO는 기조연설에서 데이터센터 AI, 대화형 AI와 자연어 처리를 위한 기술, 로보틱스, 헬스케어...",[재테크] 천천히 서둘러라,3일 전
49,"중국 빅테크, 반도체 자체 개발에 나서는 이유","그중에서도 텐센트가 주력하는 것은 AI반도체가 될 것이며, 추후 이미지·동영상 처리, 자연어 처리, 검색 추천 등의 기능을 개발할 예정으로 알려졌다. 텐센트 본사...",그린스톤의 투자노트,3일 전
50,키플홀딩스 장외주식매도매수문의,#키플홀딩스 #키플홀딩스주식 #키플홀딩스장외주식 #음성인식#기계번역#자연어처리 #오픈API #AI기반언어처리 #언어솔루션 #AI어시스턴트시스템공동개발...,키플홀딩스의 모든것,3일 전
51,매일매일 경제노트(2021년11월3일),자동화해 처리하는 기술이다. 네이버클라우드는 RPA 서비스의 경쟁력 확보를... MS는 또 현재 가장 강력한 자연어 처리 인공지능 모델인 GPT-3를 자신의 클라우드...,Artist Q,3일 전
52,치매 예방부터 돌봄까지…AI로 어르신 건강·안전 지키는 광주...,"인공지능 자연어 처리기술을 접목해 120만건의 회화 전개가 가능하고 보호자, 관리자 애플리케이션을 통해 돌봄 인형의 목소리로 어르신과 대화도 할 수 있다. AI...",인공지능으로 새로운 가치를 창출하는 미스터마인드,3일 전
53,"""전문가 수준의 영어 문제, AI가 5초 만에 제작""...이형종...","영어 문제 자동생성 서비스 'ATM(AI Test Maker)' 개발 자연어처리(NLP) 기반으로 지문... 그만큼 지문을 분석하는 자연어처리(NLP) 기술이 높아야 하고, 이를 응용할 수...",AI타임스 | AITIMES,3일 전
54,"초거대 AI 개발에 한창인 LG, 계열사별 AI 연구 상황은?","활용 중인 AI 기술 종류는 음성인식·합성, 자연어처리, 영상처리·추천·예측 등 다양하다. LG유플러스가 가장 많은 AI 기술을 적용하는 서비스 주제는 IPTV다. IPTV...",AI타임스 | AITIMES,3일 전
55,[사주임의 전략소개 #11] Ai주식자동매매프로그램의...,"딥러닝과 자연어 처리에 크게 의존하고 있고, 이런 기술들을 통해 엄청 많은 데이터의 패턴을 인식하고 처리하며 실생활에도 많이 활용되고 있어요 이러한 인공지능의...",슬기로운 직장생활,3일 전
56,"마이크로소프트 3D 아바타 회의/매타버스, 인공지능AI GPT-3...",만든 자연어 처리 모델인 GPT-3은 인류 역사상 가장 뛰어난 언어 인공지능 모델이라고 평가를 받고 있다 GPT-3 이 기존 AI보다 뛰어난 점은 1) 특정 주제만이 아닌...,날아라 동구님의 블로그,3일 전
57,딥 러닝 - fastai 를 이용한 예제,현재 사용되는 분야 ● 컴퓨터 영상 처리 · 물체 인식: object... ( 자연어 처리 ) · 게시글의 답글 달기 · 모방한 글 쓰기...,Ray's Illusion,3일 전
58,2021. 11. 8,"(TTS), 자연어처리, 필기인식 등의 AI 솔루션을 제공 - 이에 셀바스AI는 쌍방향커뮤니케이션 핵심기술인 음성기술을 메타버스 세계관 속 버추얼 휴먼에 접목시킬...",레몬 리서치,3일 전
59,마이크로소프트의 또 다른 전략,대규모 자연어처리(NLP) 모델인 GPT-3의 라이선스 독점 사용권을 사들였다고 발표 = GPT-3는 인류 역사상 가장 뛰어난 '언어 인공지능'이라고 평가 받아온 모델...,[월천마블의 경자꿈 연구소],3일 전
60,[SBA 새싹(SeSAC) X 솔트룩스] 취업연계 인공지능 SW교육...,[인공지능 자연어처리 및 음성인식/합성기술을 활용한 응용SW 개발자 양성과정] ● 모집개요 - 자연어처리와 음성인식/합성 기술을 활용하여 현업에서 사용하는...,요즘것들 공식 블로그,3일 전
61,"AI 스타트업, 브랜드 포지셔닝부터 제대로 <#솔트룩스>","기계학습과 자연어 처리 스타트업 ㈜시스메타가 이들의 시초라고 합니다. 창업... 대화 처리 딥러닝 기반의 지식 학습, 음성인식/합성 등에 많은 투자를 진행하기도...",영비전과 은하수 별다방 salon^**^,3일 전
62,기계번역 솔루션 랭귀지 위버 CASE STUDY :: 한화 디펜스,"안녕하세요, 유니포인트 입니다. 여러 기업, 기관들도 물론이지만, 특히나 국방관련의 사업에서의 글로벌 의사소통 역량은 보다 더욱 빠르고 정확해야합니다....",유니포인트 공식 블로그,3일 전
63,nlp ALBERT 논문 정리(논문 리뷰) - A Lite BERT for...,포스팅 개요 이번 포스팅은 자연어처리(NLP) 논문 중 A Lite BERT... 데이터 처리량 (number of training steps) 을 제어하는 대신 ? Actual...,꿈 많은 사람의 이야기,3일 전
64,"인간보다 우월한 AI, 축복인가 재앙인가",자연어 처리기술(Natural language processing)이 있다. 컴퓨터가 인간의 언어를 알아들을 수 있게 해 사람처럼 인식하고 말하고 소통할 수 있게 하는 기술이다. 자연어...,브릿지경제,3일 전
65,마인즈랩공모주 분석 : 상담도 AI로,12 마인즈랩은 어떤 회사인가 마인즈랩은 자연어라고 불리는 사람들의 일상적인... 물론 아직까지는 자연어 처리 기술이 좀 더 발전되어야 하겠지만 향후 매우...,용두댁 주식한약방,3일 전
66,Tech Trends_VR 비즈니스 동향 ('211112)_MS도 메타버스 진격...,"MS는 자연어 처리 인공지능 모델인 GPT-3를 활용해 대량의 텍스트를 자동 요약해주는 소프트웨어, MS 오피스 제품과 결합해 표나 메모를 자유롭게 캔버스에 그리듯...",pixmedia_vr님의블로그,3일 전
67,"211108 2022년 전망~ 어떤 섹터, 종목들이 괜찮을지? 한번...",제가 매일 듣는 하나금융투자의 하나모닝브리핑 방송에 언급된 것을 요약 위주로 기술하였고 기억하고 싶은 요점만 뽑아봤습니다. 상세한 내용은 Daily Report를....,꾸준함으로 내그릇들 모두채우기,3일 전
68,[기업분석] 셀바스AI - 절대적 저평가 상태인 메타버스...,"분야에서 #자연어처리 기술의 중요성이 증가하고 있습니다. 셀바스AI는 음성... 음성인식(STT), 음성합성(TTS), 자연어처리, 필기인식 등의 AI 솔루션을 제 공하고...",퀀텀 알고리즘,3일 전
69,"GPT-1, BERT, GPT-2 모델 이해","next sentence prediction(NSP) 문장 두 개를 처리하는 자연어 처리의 예로는 질의 및 응답을 하는 경우가 있고, 문장 간의 상관관계를 예측하는...",환꼬블로그,3일 전
70,11월 8일~11월12일(11월2주차)주요 증시일정-엔비디아...,"및 자연어 처리를 위한 최신 기술과 로보틱스부터 헬스케어, 자율주행차량에 이르기까지 모든 분야를 아우르는 엔비디아의 최신 AI를 공개할 예정) →메타버스...",전업트레이더 마스터의 주식이야기,3일 전
71,자료구조 총정리,docx 파일 다운로드 1장 자료구조와 알고리즘 문제 처리를 위한 프로그램 작성... 알고리즘을 자연어로 구체적으로 적고 > 흐름도를 그리고 > 의사 코드(유사코드)를...,한지현의 지식과 자료보관소,3일 전
72,Transformer 이론 및 구성요소,트랜스포머는 비전 테스크에 좋은 Batch Normalization이 아닌 자연어 처리에 강한 Layer Normalization을 사용하고 있습니다. 이미지는 사이즈가 고정되어...,환꼬블로그,4일 전
73,[셀바스AI] 메타버스의 잠재력을 가진 AI기업,"영상지능, 자연어처리 등 HCI(Human-Computer Interaction) 기술 경쟁력을 강화하고... 음성합성, 자연어처리, 필기인식 등으로 진화시키는 기술을 의미합니다. 제품에 대한...",주식개인주의,4일 전
74,"메타버스 영향력, 기대, 평가, 취약점, 필요요소, 전망 등...","자연어처리, 음성처리, 시각처리 등 AI 기술이 사람이 못하는 부분을 감시자로서 역할을 하여 이용자들로 하여금 충분히 경각심을 고취시킬 수 있으리라 생각합니다....","노하우셀러(메타버스, 게더타운, 엠큐브셀링)",4일 전
75,"[Book]AI 101, 인공지능 비즈니스의 모든 것",그러던 중 2010년 세번째 붐이 일어나게되는데 그 원동력은 강력한 그래픽처리장... 6-3 자연어처리 기술 6-4 엘모와 버트 6-5 자연어처리를 넘어 7장 AI 공정성 7-1 AI...,Learn + Practice + Travel = JOY,4일 전
76,[3줄 독후감] 네이버 vs 카카오,"선순환 구조가 완성된 것으로 보이나, 카카오는 아직 중구 난방의 느낌. (개인 의견) * 양사 모두 AI / 로봇 / IOT / TTS / OCR / 자연어 처리 등등에 대한 연구를 진행 중.",살아가며 배운.... 혼자 알기 아까운 것들......,4일 전
77,IONQ(아이온큐) - 투자설명서 2편 (사업편),"정보 처리, 통신, 에너지, 운송, 생명 공학, 생명을 포함한 과학, 농업 및 산업... 발전했으며 처리 능력은 몇 년마다 약 2배씩 증가합니다(무어의 법칙)...",YD & AA Paulus,4일 전
78,인공지능개발 에이아이글로벌 !,자연어 처리 기반으로 최적의 답변을 제공는 챗봇을 개발 텍스트 정보를... 영상콘텐츠 속의 내용까지 검색하는 AI 기술 이 있어요 자연어 이해 기술로 구축된 AI 챗봇...,FantasticLife,4일 전
79,[에이블런] 소셜 빅데이터 분석캠프_에이블캠프 체험활동단 1주차,"소셜 빅데이터를 통해 유의미한 정보 추출 및 인사이트를 얻는게 중요해짐 : 소셜 빅데이터 분석 프로세스 데이터 수집 -> 텍스트 마이닝(자연어처리, 키워드 및...","Elliraum, 엘리라움",4일 전
80,"빅데이터 분석과 R 10편, 빅데이터 관련 용어 이해","빅데이터를 처리하기 위해 개발한 소프트웨어 프레임워크 3) 아파치 하둡... 5) 자연어 처리 인간이 말하는, 발화하는 언어 현상을 기계적으로 분석해서...","4차산업혁명 카운셀러, 정일영",4일 전
81,GM 크루즈 인베스터데이Under the Hood 2021: 자율주행...,AI를 이용한 자연어 처리 기술이나 집을 구매하고 판매하는 ibuying도 그렇지만 구글의 웨이모가 특히 그런 생각을 강하게 만들었다. 몇년전부터 웨이모와 월마트가...,"자기 기록, 일기 전문 블로그에요",4일 전
82,"뤼이드, 교육 AI 학습 효과 입증에서 신뢰기반 구축까지 다각적...","특히, EDM에 채택된 점수 예측 알고리즘 연구는 최신 자연어 처리 기술을 교육 AI에 최초로 접목해 현재 최고 정확도 모델 대비 오차를 4% 감소시키며, 베스트...",쑨쑨배 블로그!,5일 전
83,패스트캠퍼스 챌린지 6일차(토요일),좋아 자연어처리가 왜 어려운지에 대한 저번 강의에 이어 이번에는 한국어... 많아지고 처리할 것도 많아짐 따라서 형태소 분석기를 통해 하나로 줄여야 함 ex. 잡 / 다...,HELLO WORLD!,5일 전
84,[자연어처리] 자연어처리를 위한 KoNLPy 설치,- 한국어 정보 처리를 위한 파이썬 패키지 한국어 자연어처리를 위해선 반드시 필요한 패키지라고 할 수 있습니다. 먼저 KoNLPy를 설치하기 위해선...,한글날이좋아요,5일 전
85,자연어 처리 논문 분석 주제 - Opinion Mining and...,728x90 반응형 Opinion_mining_and_sentiment_analysis로 정함 https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7724305 21.11.06 정함 1 해당 논문을 왜 선정하였는지 2...,노는 게 제일 좋아,5일 전
86,다음주 정부부처 일정 및 주식/증시 일정 소개(11/8~11/12),"엔비디아 CEO 제슨황, GTC 기조연설 진행 엔터프라이즈 및 데이터센터 AI, 대화형 AI 및 자연어 처리를 위한 최신 기술과 로보틱스부터 헬스케어, 자율주행차량에...",최PD의 차이나는 주식 연구소,5일 전
87,[2022 대선 후보 분석 15화] 민주당 이재명 VS 국민의힘 윤석열...,"데이터를 분석하여 제공하는 매니지드 웹크롤링(Crawling) 서비스입니다. 자연어처리(감정분석, 형태소분석) 뿐만 아니라 이미지 분석 기술도 사용할 수 있습니다.",hashscraper | 데이터 수집 분석,5일 전
88,"11월 공모주 일정 ( 트윔, 마인즈랩, 알비더블유, 바이옵트로...","사람이미지의 키오스크라는 건데, 마인즈랩의 M1은 아바타 기술, 음성인식·합성 기술, 자연어처리(NLP) 기술과 역량 등 AI기술을 총망라된 서비스입니다. 그냥 사람이...",경제신문으로 하는 어른이의 공부,5일 전
89,쏘나타 장기렌트_비교견적을 통해 착한 가격으로 스마트하게...,"기반의 자연어 음성 명령 기능과, 준자율주행급의 스마트 크루즈 컨트롤... 비용처리할 수 있으며, 추가로 차량 유류비로 사용되는 비용 중 매년 700만원까지 비용처리를...",크레이지튜너 010-3209-8809,5일 전
90,패스트캠퍼스 챌린지 5일차,자연어처리부트캠프에 합격한 나는 오늘밤이 지나가기전에 배송지를 입력해야한다. 이게 맞는 길이 맞을까 계속 고민되지만 꿈에다가 한표를 던지기로 했다. 자꾸...,Wildest Dreams or Not,6일 전
91,"[IT 소식] 젠슨 황 엔비디아 CEO, 'GTC' 기조연설 나선다…AI...","젠슨 황 CEO는 기조연설에서 엔터프라이즈 및 데이터센터 AI, 대화형 AI와 자연어 처리를 위한 최신 기술을 비롯해 로보틱스부터 헬스케어, 자율주행차량에...",EhostICT,6일 전
92,"마이크로소프트(MSFT) 주가: 마소도 메타버스, 인공지능(AI)...","Open AI란 일론머스크가 처음 투자했던 인공지능 개발 기구인데, 이 기구에 지분을 투자해 만든 대규모 자연어처리 모델이 GPT-3다. MS가 이 모델의 라이선스 독점...",야옹냐옹 주식투자이야기,6일 전
93,인공지능 대규모(그랜드) 도전잇기(챌린지) 5차대회 2단계...,5차대회는 자연어의 이해와 수리적 사고?추론에 기반 한 복합지능 기술... 대회에서 자연어 처리 규칙을 완화하고 문서(텍스트)로 묘사된 도형문제를 추가하는...,하이거,6일 전
94,[ESG/투자] 팬데믹 시대가 일깨워준 지속가능한 투자의 중요성,"이 연구는 자연어 처리를 이용하여 노무 관리, 공급망 관리, 기업 운영 등에서 기업이 취한 이해관계자 친화적인 행동을 평가하였습니다. 이해관계자 친화적인 행동을...",얼라이언스번스틴 자산운용,6일 전
95,[물류매거진] CJ대한통운 / 택배기사 돕는 ‘AI 비서’ 도입,"음성인식(STT), 음성합성(TTS), 자연어처리(NLP) 등 다양한 AI 기술을 융·복합해 사용자 환경에 최적화했다. CJ대한통운은 체감도 높은 정교한 서비스를 구현하기 위해...",물류매거진,6일 전
96,"딥러닝, 머신러닝, 인공지능 차이점 알아보기","자연어 처리 4. 추천시스템 이렇게 4가지 분야에서 다양하게 사용되고 있더라고요. 지금까지 인공지능, 머신러닝, 딥러닝에 대하여 간단하게 알아보는 시간을 가졌는데...",티오더,6일 전
